RUT	NOMBRE	CURSO	CONTRASEÑA
﻿12.345.671-1	nn01	4A	pass994
12.345.672-2	nn02	4A	pass240
12.345.673-3	nn03	4A	pass192
12.345.674-4	nn04	4A	pass517
12.345.675-5	nn05	4A	pass847
12.345.676-6	nn06	4A	pass566
12.345.677-7	nn07	4A	pass298
12.345.678-8	nn08	4A	pass657
12.345.679-9	nn09	4A	pass891
12.345.680-0	nn10	4A	pass358
12.345.681-1	nn11	4A	pass112
12.345.682-2	nn12	4A	pass501
12.345.683-3	nn13	4A	pass869
12.345.684-4	nn14	4A	pass290
12.345.685-5	nn15	4A	pass968
12.345.686-6	nn16	4A	pass732
12.345.687-7	nn17	4A	pass663
12.345.688-8	nn18	4A	pass921
12.345.689-9	nn19	4A	pass224
12.345.690-0	nn20	4A	pass832
12.345.691-1	nn21	4A	pass996
12.345.692-2	nn22	4A	pass951
12.345.693-3	nn23	4A	pass720
12.345.694-4	nn24	4A	pass709
12.345.695-5	nn25	4A	pass256
12.345.696-6	nn26	4A	pass356
12.345.697-7	nn27	4A	pass609
12.345.698-8	nn28	4A	pass141
12.345.699-9	nn29	4A	pass215
12.345.700-0	nn30	4A	pass961
12.345.701-1	nn31	4A	pass693
12.345.702-2	nn32	4A	pass719
12.345.703-3	nn33	4A	pass365
12.345.704-4	nn34	4A	pass615
12.345.705-5	nn35	4A	pass370
12.345.706-6	nn36	4A	pass264
12.345.707-7	nn37	4A	pass921
12.345.708-8	nn38	4A	pass707
12.345.709-9	nn39	4A	pass634
12.345.710-0	nn40	4A	pass100
12.345.711-1	nn41	4A	pass802
12.345.712-2	nn42	4A	pass571
12.345.713-3	nn43	4A	pass361
12.345.714-4	nn44	4A	pass623
12.345.715-5	nn45	4A	pass744
