--- REPORTE DE INSCRIPCIONES POR ESTUDIANTE ---
RUT	NOMBRE	CURSO	ASIGNATURAS INSCRITAS
﻿12.345.671-1	nn01	4A	Ninguna
12.345.672-2	nn02	4A	Ninguna
12.345.673-3	nn03	4A	ART101
12.345.674-4	nn04	4A	Ninguna
12.345.675-5	nn05	4A	Ninguna
12.345.676-6	nn06	4A	Ninguna
12.345.677-7	nn07	4A	Ninguna
12.345.678-8	nn08	4A	Ninguna
12.345.679-9	nn09	4A	Ninguna
12.345.680-0	nn10	4A	Ninguna
12.345.681-1	nn11	4A	Ninguna
12.345.682-2	nn12	4A	Ninguna
12.345.683-3	nn13	4A	Ninguna
12.345.684-4	nn14	4A	Ninguna
12.345.685-5	nn15	4A	Ninguna
12.345.686-6	nn16	4A	Ninguna
12.345.687-7	nn17	4A	Ninguna
12.345.688-8	nn18	4A	Ninguna
12.345.689-9	nn19	4A	Ninguna
12.345.690-0	nn20	4A	Ninguna
12.345.691-1	nn21	4A	Ninguna
12.345.692-2	nn22	4A	Ninguna
12.345.693-3	nn23	4A	Ninguna
12.345.694-4	nn24	4A	Ninguna
12.345.695-5	nn25	4A	Ninguna
12.345.696-6	nn26	4A	Ninguna
12.345.697-7	nn27	4A	Ninguna
12.345.698-8	nn28	4A	Ninguna
12.345.699-9	nn29	4A	Ninguna
12.345.700-0	nn30	4A	Ninguna
12.345.701-1	nn31	4A	Ninguna
12.345.702-2	nn32	4A	Ninguna
12.345.703-3	nn33	4A	Ninguna
12.345.704-4	nn34	4A	Ninguna
12.345.705-5	nn35	4A	Ninguna
12.345.706-6	nn36	4A	Ninguna
12.345.707-7	nn37	4A	Ninguna
12.345.708-8	nn38	4A	Ninguna
12.345.709-9	nn39	4A	Ninguna
12.345.710-0	nn40	4A	Ninguna
12.345.711-1	nn41	4A	Ninguna
12.345.712-2	nn42	4A	Ninguna
12.345.713-3	nn43	4A	Ninguna
12.345.714-4	nn44	4A	Ninguna
12.345.715-5	nn45	4A	Ninguna
